condition,community,n_nodes
Triple_negative_tumor,158,2
Triple_negative_tumor,159,2
Triple_negative_tumor,160,2
Triple_negative_tumor,161,2
Triple_negative_tumor,162,2
Triple_negative_tumor,163,2
Triple_negative_tumor,164,2
Triple_negative_tumor,165,2
Triple_negative_tumor,166,2
Triple_negative_tumor,167,2
Triple_negative_tumor,168,2
Triple_negative_tumor,169,2
Triple_negative_tumor,170,2
Triple_negative_tumor,171,2
Triple_negative_tumor,172,2
Triple_negative_tumor,173,2
Triple_negative_tumor,174,2
Triple_negative_tumor,175,2
Triple_negative_tumor,176,2
Triple_negative_tumor,177,2
Triple_negative_tumor,178,2
Triple_negative_tumor,179,2
Triple_negative_tumor,180,2
Triple_negative_tumor,181,2
Triple_negative_tumor,182,2
Triple_negative_tumor,183,2
