condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
HER2_tumor,,20,61,2,1,0.3329865038394928,SLC35B4 | NAB2,SLC35B4,NAB2,
HER2_tumor,,20,62,2,1,0.3227033615112304,PDLIM5 | ACTN1,PDLIM5,ACTN1,
HER2_tumor,,20,63,2,1,0.3207412362098694,ACSS1 | R3HDM4,ACSS1,R3HDM4,
HER2_tumor,,20,64,2,1,0.3045148551464081,DCK | CDC42SE1,DCK,CDC42SE1,
HER2_tumor,,20,65,2,1,0.3029486238956451,TNIP1 | LYST,TNIP1,LYST,
HER2_tumor,,20,66,2,1,0.2953543066978454,USP20 | SLF1,USP20,SLF1,
HER2_tumor,,20,67,2,1,0.2949423789978027,CYB5R4 | PTPRJ,CYB5R4,PTPRJ,
HER2_tumor,,20,68,2,1,0.2920290529727936,AKIP1 | SUPT7L,AKIP1,SUPT7L,
HER2_tumor,,20,69,2,1,0.2863863408565521,STK17B | ZNF331,STK17B,ZNF331,
HER2_tumor,,20,70,2,1,0.2772886157035827,LBH | ETS1,LBH,ETS1,
HER2_tumor,,20,71,2,1,0.2752785086631775,CYTOR | MIR4435-2HG,CYTOR,MIR4435-2HG,
HER2_tumor,,20,72,2,1,0.2701666057109833,PPM1M | NFKBIE,PPM1M,NFKBIE,
HER2_tumor,,20,73,2,1,0.2687540054321289,RELB | CFLAR,RELB,CFLAR,
HER2_tumor,,20,74,2,1,0.2677226364612579,ZBTB2 | EEF1AKMT2,ZBTB2,EEF1AKMT2,
HER2_tumor,,20,75,2,1,0.2659389972686767,LMNA | HES1,LMNA,HES1,
HER2_tumor,,20,76,2,1,0.264965146780014,BCOR | THAP9-AS1,BCOR,THAP9-AS1,
HER2_tumor,,20,77,2,1,0.263050764799118,MLLT3 | TSPAN17,MLLT3,TSPAN17,
HER2_tumor,,20,78,2,1,0.2614036500453949,CHIC2 | ISY1,CHIC2,ISY1,
HER2_tumor,,20,79,2,1,0.261018842458725,TMEM176B | TMEM176A,TMEM176B,TMEM176A,
HER2_tumor,,20,80,2,1,0.2605138421058655,GTF2F2 | TRIM13,GTF2F2,TRIM13,
HER2_tumor,,20,81,2,1,0.2578243017196655,SIPA1L1 | COQ8B,SIPA1L1,COQ8B,
HER2_tumor,,20,82,2,1,0.2576993703842163,NUP214 | SART1,NUP214,SART1,
