condition,gene_a,gene_b,weight
ER_tumor,AGO3,USP34,0.1862568706274032
ER_tumor,PLEKHA1,RYK,0.1859801858663559
ER_tumor,USP47,TMED7,0.1859748810529709
ER_tumor,LRPPRC,AQR,0.1856462210416793
ER_tumor,EMC10,YME1L1,0.1856353878974914
ER_tumor,PUM2,NKIRAS2,0.1856083124876022
ER_tumor,HLA-A,B2M,0.1855971217155456
ER_tumor,ERBIN,REV1,0.1855632960796356
ER_tumor,UBE2H,PRPF4B,0.1852982938289642
ER_tumor,TRIM26,GOSR1,0.1851245015859604
ER_tumor,GOPC,RCN1,0.1848810613155365
ER_tumor,JAK1,TM2D3,0.1848790198564529
ER_tumor,PWP1,NFYC,0.1848655939102172
ER_tumor,ZNF207,YPEL5,0.1847604811191558
ER_tumor,CYBRD1,FTO,0.1847522109746933
ER_tumor,IPO9,INPPL1,0.1847323179244995
ER_tumor,PDIA6,HSP90B1,0.1847098022699356
ER_tumor,SPIN1,RYK,0.1844838708639145
ER_tumor,TNPO1,STX16,0.1844008415937423
ER_tumor,ZC3H6,ELF2,0.1837318539619445
ER_tumor,BBX,AHI1,0.1836070865392685
ER_tumor,EBLN3P,CNIH1,0.1832369863986969
ER_tumor,SNX6,IMMT,0.1832303404808044
ER_tumor,TRAPPC2,BBX,0.183026909828186
ER_tumor,GOSR1,PPP1R12A,0.1829861849546432
ER_tumor,SELENOS,FKBP11,0.1827652156352996
ER_tumor,SLC30A7,NUCB1,0.1827206313610077
ER_tumor,LSM8,RBM6,0.1827029734849929
ER_tumor,EMC10,SHOC2,0.1826209425926208
ER_tumor,PTEN,SPTAN1,0.1825515031814575
ER_tumor,AP2A2,HK1,0.1825513839721679
ER_tumor,ZNRD1,TERF1,0.1824728697538375
ER_tumor,GOPC,MPZL1,0.182427629828453
ER_tumor,ARL2BP,GLG1,0.1820249408483505
ER_tumor,GON4L,BBX,0.1816115379333496
ER_tumor,ZNRD1,CCAR1,0.1815425753593444
ER_tumor,IAH1,ANKRD10,0.1812612563371658
ER_tumor,TMEM30A,GLG1,0.181260660290718
ER_tumor,PKN2,WASF2,0.1812380701303482
ER_tumor,PURA,MED13L,0.1810697764158249
ER_tumor,MTREX,OSBPL8,0.1808923631906509
ER_tumor,VCP,OS9,0.180814042687416
ER_tumor,LUC7L2,ZNF518A,0.1806197315454483
ER_tumor,TNRC6B,SPTAN1,0.1806158721446991
ER_tumor,HLA-A,HLA-E,0.1804563254117965
ER_tumor,ARHGAP5,THUMPD1,0.1803252547979354
ER_tumor,TAF7,USP16,0.1802905946969986
ER_tumor,LRPAP1,SEC13,0.1801452487707138
ER_tumor,TNKS2,PUM1,0.1799173802137375
ER_tumor,MED10,IFT20,0.1798482239246368
ER_tumor,GOSR1,ATF7IP,0.1797368377447128
ER_tumor,GPANK1,AKAP17A,0.1796194314956665
ER_tumor,CTDSP1,CIC,0.1795745342969894
ER_tumor,RDH11,EIF2S1,0.1794546693563461
ER_tumor,HSPA1A,DNAJB1,0.1793946474790573
ER_tumor,REV1,PRPF8,0.1793707609176635
ER_tumor,IAH1,PRPF4B,0.1791333705186844
ER_tumor,TMED7,FUT8,0.1788658201694488
ER_tumor,HNRNPR,FRG1,0.17885722219944
ER_tumor,ZNF207,UBE2H,0.1788554787635803
ER_tumor,LRPAP1,LSM10,0.1788504719734192
ER_tumor,KDM5A,GOPC,0.1788191050291061
ER_tumor,DHX36,TAF7,0.178801342844963
ER_tumor,BCAP29,TMOD3,0.1787839084863662
ER_tumor,SMARCC2,PRKAR1A,0.1786098927259445
ER_tumor,WDR43,BBX,0.1786094307899475
ER_tumor,PPM1G,HNRNPM,0.1785104870796203
ER_tumor,RND3,RYK,0.178446352481842
ER_tumor,ATG12,ITGB1BP1,0.1783417016267776
