condition,source_conditions,community,n_nodes
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,7,4
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,8,3
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,9,3
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,10,3
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,11,3
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,12,3
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,13,3
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,14,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,15,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,16,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,17,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,18,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,19,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,21,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,22,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,23,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,24,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,25,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,26,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,27,2
