condition,source_conditions,gene_a,gene_b,weight
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ADAL,ICE2,0.2044916898012161
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CTSK,FBLN1,0.2041332125663757
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,VAMP4,VPS53,0.2037213444709777
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,RRAGB,PDP1,0.2034055590629577
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL1A2,CCDC80,0.2029446363449096
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KRT7,S100A14,0.2003764510154724
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,PALLD,TPM1,0.2001623660326004
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ANKRD49,DCAF16,0.2001391500234604
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,NFIA,CYBRD1,0.2001008838415146
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CYB5D2,USP38,0.1980673521757125
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,HSPA1A,HSPA1B,0.1978927552700042
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,SNRNP200,NF1,0.1977297961711883
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,COL6A2,C1S,0.1975335776805877
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,TRPM7,VPS53,0.1973643451929092
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,GTF2B,SPTY2D1,0.1973582208156585
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,SNIP1,NXF1,0.1972871124744415
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,CKS2,SMC4,0.1971022635698318
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,GABPB1-AS1,SPTY2D1,0.1965121328830719
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,LHFPL6,IGFBP4,0.1961227506399154
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,GTF2B,CSGALNACT2,0.1960435658693313
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ANKDD1A,RPGR,0.1959835439920425
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,TRPM7,IKBKB,0.195071130990982
